trivials	empty	rule	c2	c3	c4	c5	f1	f2	f3	f4	f5	covPostCases	confidence	lift	globalQuality	withoutTrivial	optimised	iteration	treeNode	simplification	oneCatAltIndex	extLength	covPostCases2	support
1520	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A1518 = "R";isnumber(match(c1518;a$1:a$1000;0));isnumber(match(h1518;a$1:a$1000;0));isnumber(match(d1518;a$1:a$1000;0));isnumber(match(i1518;a$1:a$1000;0));isnumber(match(e1518;a$1:a$1000;0));isnumber(match(j1518;a$1:a$1000;0));isnumber(match(f1518;a$1:a$1000;0));isnumber(match(k1518;a$1:a$1000;0));isnumber(match(g1518;a$1:a$1000;0));isnumber(match(l1518;a$1:a$1000;0)));0;p1518)	From Tree node	034	61	""	""	""	""	""
1521	""	AlbuMin< 3.85	Histology>=1.5	Sgot< 86	Steroid>=1.5	Sgot< 41	AlbuMin	Histology	Sgot	Steroid	Sgot	0.230769230769231	1	6.15	0.230769230769231	=if(or(A1522 = "R";isnumber(match(c1522;a$1:a$1000;0));isnumber(match(h1522;a$1:a$1000;0));isnumber(match(d1522;a$1:a$1000;0));isnumber(match(i1522;a$1:a$1000;0));isnumber(match(e1522;a$1:a$1000;0));isnumber(match(j1522;a$1:a$1000;0));isnumber(match(f1522;a$1:a$1000;0));isnumber(match(k1522;a$1:a$1000;0));isnumber(match(g1522;a$1:a$1000;0));isnumber(match(l1522;a$1:a$1000;0)));0;p1522)	From Tree node	0344	61	""	""	1	3	3
1522	""	0.4	0.363636363636364	0.185185185185185	0.119047619047619	0.166666666666667					""	""	""	""	""	=if(or(A1522 = "R";isnumber(match(c1522;a$1:a$1000;0));isnumber(match(h1522;a$1:a$1000;0));isnumber(match(d1522;a$1:a$1000;0));isnumber(match(i1522;a$1:a$1000;0));isnumber(match(e1522;a$1:a$1000;0));isnumber(match(j1522;a$1:a$1000;0));isnumber(match(f1522;a$1:a$1000;0));isnumber(match(k1522;a$1:a$1000;0));isnumber(match(g1522;a$1:a$1000;0));isnumber(match(l1522;a$1:a$1000;0)));0;p1522)	From Tree node	0344	61	""	""	""	""	""
1523	""	-0.666666666666667	-1	-1	-1	-0.666666666666667					""	""	""	""	""	=if(or(A1522 = "R";isnumber(match(c1522;a$1:a$1000;0));isnumber(match(h1522;a$1:a$1000;0));isnumber(match(d1522;a$1:a$1000;0));isnumber(match(i1522;a$1:a$1000;0));isnumber(match(e1522;a$1:a$1000;0));isnumber(match(j1522;a$1:a$1000;0));isnumber(match(f1522;a$1:a$1000;0));isnumber(match(k1522;a$1:a$1000;0));isnumber(match(g1522;a$1:a$1000;0));isnumber(match(l1522;a$1:a$1000;0)));0;p1522)	From Tree node	0344	61	""	""	""	""	""
1524	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A1522 = "R";isnumber(match(c1522;a$1:a$1000;0));isnumber(match(h1522;a$1:a$1000;0));isnumber(match(d1522;a$1:a$1000;0));isnumber(match(i1522;a$1:a$1000;0));isnumber(match(e1522;a$1:a$1000;0));isnumber(match(j1522;a$1:a$1000;0));isnumber(match(f1522;a$1:a$1000;0));isnumber(match(k1522;a$1:a$1000;0));isnumber(match(g1522;a$1:a$1000;0));isnumber(match(l1522;a$1:a$1000;0)));0;p1522)	From Tree node	0344	61	""	""	""	""	""
1525	""	ProTime< 44	ProTime>=26	Ascites>=1.5	Sgot>=61.5	ProTime< 38.5	ProTime	ProTime	Ascites	Sgot	ProTime	0.230769230769231	1	6.15	0.230769230769231	=if(or(A1526 = "R";isnumber(match(c1526;a$1:a$1000;0));isnumber(match(h1526;a$1:a$1000;0));isnumber(match(d1526;a$1:a$1000;0));isnumber(match(i1526;a$1:a$1000;0));isnumber(match(e1526;a$1:a$1000;0));isnumber(match(j1526;a$1:a$1000;0));isnumber(match(f1526;a$1:a$1000;0));isnumber(match(k1526;a$1:a$1000;0));isnumber(match(g1526;a$1:a$1000;0));isnumber(match(l1526;a$1:a$1000;0)));0;p1526)	From Tree node	111111233	59	""	""	1	3	3
1526	""	0.555555555555556	0.168831168831169	0.0882352941176471	0.189189189189189	0.615384615384615					""	""	""	""	""	=if(or(A1526 = "R";isnumber(match(c1526;a$1:a$1000;0));isnumber(match(h1526;a$1:a$1000;0));isnumber(match(d1526;a$1:a$1000;0));isnumber(match(i1526;a$1:a$1000;0));isnumber(match(e1526;a$1:a$1000;0));isnumber(match(j1526;a$1:a$1000;0));isnumber(match(f1526;a$1:a$1000;0));isnumber(match(k1526;a$1:a$1000;0));isnumber(match(g1526;a$1:a$1000;0));isnumber(match(l1526;a$1:a$1000;0)));0;p1526)	From Tree node	111111233	59	""	""	""	""	""
1527	""	-1	-1	-1	-0.6	-0.666666666666667					""	""	""	""	""	=if(or(A1526 = "R";isnumber(match(c1526;a$1:a$1000;0));isnumber(match(h1526;a$1:a$1000;0));isnumber(match(d1526;a$1:a$1000;0));isnumber(match(i1526;a$1:a$1000;0));isnumber(match(e1526;a$1:a$1000;0));isnumber(match(j1526;a$1:a$1000;0));isnumber(match(f1526;a$1:a$1000;0));isnumber(match(k1526;a$1:a$1000;0));isnumber(match(g1526;a$1:a$1000;0));isnumber(match(l1526;a$1:a$1000;0)));0;p1526)	From Tree node	111111233	59	""	""	""	""	""
1528	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A1526 = "R";isnumber(match(c1526;a$1:a$1000;0));isnumber(match(h1526;a$1:a$1000;0));isnumber(match(d1526;a$1:a$1000;0));isnumber(match(i1526;a$1:a$1000;0));isnumber(match(e1526;a$1:a$1000;0));isnumber(match(j1526;a$1:a$1000;0));isnumber(match(f1526;a$1:a$1000;0));isnumber(match(k1526;a$1:a$1000;0));isnumber(match(g1526;a$1:a$1000;0));isnumber(match(l1526;a$1:a$1000;0)));0;p1526)	From Tree node	111111233	59	""	""	""	""	""
1529	""	ProTime< 44	Anorexia>=1.5	Ascites>=1.5	Sex< 1.5	Spiders< 1.5	ProTime	Anorexia	Ascites	Sex	Spiders	0.230769230769231	1	6.15	0.230769230769231	=if(or(A1530 = "R";isnumber(match(c1530;a$1:a$1000;0));isnumber(match(h1530;a$1:a$1000;0));isnumber(match(d1530;a$1:a$1000;0));isnumber(match(i1530;a$1:a$1000;0));isnumber(match(e1530;a$1:a$1000;0));isnumber(match(j1530;a$1:a$1000;0));isnumber(match(f1530;a$1:a$1000;0));isnumber(match(k1530;a$1:a$1000;0));isnumber(match(g1530;a$1:a$1000;0));isnumber(match(l1530;a$1:a$1000;0)));0;p1530)	From Tree node	111233	59	""	""	1	3	3
1530	""	0.555555555555556	0.191176470588235	0.0882352941176471	0.188405797101449	0.32					""	""	""	""	""	=if(or(A1530 = "R";isnumber(match(c1530;a$1:a$1000;0));isnumber(match(h1530;a$1:a$1000;0));isnumber(match(d1530;a$1:a$1000;0));isnumber(match(i1530;a$1:a$1000;0));isnumber(match(e1530;a$1:a$1000;0));isnumber(match(j1530;a$1:a$1000;0));isnumber(match(f1530;a$1:a$1000;0));isnumber(match(k1530;a$1:a$1000;0));isnumber(match(g1530;a$1:a$1000;0));isnumber(match(l1530;a$1:a$1000;0)));0;p1530)	From Tree node	111233	59	""	""	""	""	""
1531	""	-0.444444444444444	-0.6	-1	-0.6	-0.571428571428571					""	""	""	""	""	=if(or(A1530 = "R";isnumber(match(c1530;a$1:a$1000;0));isnumber(match(h1530;a$1:a$1000;0));isnumber(match(d1530;a$1:a$1000;0));isnumber(match(i1530;a$1:a$1000;0));isnumber(match(e1530;a$1:a$1000;0));isnumber(match(j1530;a$1:a$1000;0));isnumber(match(f1530;a$1:a$1000;0));isnumber(match(k1530;a$1:a$1000;0));isnumber(match(g1530;a$1:a$1000;0));isnumber(match(l1530;a$1:a$1000;0)));0;p1530)	From Tree node	111233	59	""	""	""	""	""
1532	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A1530 = "R";isnumber(match(c1530;a$1:a$1000;0));isnumber(match(h1530;a$1:a$1000;0));isnumber(match(d1530;a$1:a$1000;0));isnumber(match(i1530;a$1:a$1000;0));isnumber(match(e1530;a$1:a$1000;0));isnumber(match(j1530;a$1:a$1000;0));isnumber(match(f1530;a$1:a$1000;0));isnumber(match(k1530;a$1:a$1000;0));isnumber(match(g1530;a$1:a$1000;0));isnumber(match(l1530;a$1:a$1000;0)));0;p1530)	From Tree node	111233	59	""	""	""	""	""
1533	""	ProTime< 44	Anorexia>=1.5	Ascites>=1.5	ProTime>=25	AlkPhosphate< 135.5	ProTime	Anorexia	Ascites	ProTime	AlkPhosphate	0.230769230769231	1	6.15	0.230769230769231	=if(or(A1534 = "R";isnumber(match(c1534;a$1:a$1000;0));isnumber(match(h1534;a$1:a$1000;0));isnumber(match(d1534;a$1:a$1000;0));isnumber(match(i1534;a$1:a$1000;0));isnumber(match(e1534;a$1:a$1000;0));isnumber(match(j1534;a$1:a$1000;0));isnumber(match(f1534;a$1:a$1000;0));isnumber(match(k1534;a$1:a$1000;0));isnumber(match(g1534;a$1:a$1000;0));isnumber(match(l1534;a$1:a$1000;0)));0;p1534)	From Tree node	111233333	59	""	""	1	3	3
1534	""	0.555555555555556	0.191176470588235	0.0882352941176471	0.168831168831169	0.147540983606557					""	""	""	""	""	=if(or(A1534 = "R";isnumber(match(c1534;a$1:a$1000;0));isnumber(match(h1534;a$1:a$1000;0));isnumber(match(d1534;a$1:a$1000;0));isnumber(match(i1534;a$1:a$1000;0));isnumber(match(e1534;a$1:a$1000;0));isnumber(match(j1534;a$1:a$1000;0));isnumber(match(f1534;a$1:a$1000;0));isnumber(match(k1534;a$1:a$1000;0));isnumber(match(g1534;a$1:a$1000;0));isnumber(match(l1534;a$1:a$1000;0)));0;p1534)	From Tree node	111233333	59	""	""	""	""	""
1535	""	-0.0888888888888889	-0.75	-1	-0.6	-0.571428571428571					""	""	""	""	""	=if(or(A1534 = "R";isnumber(match(c1534;a$1:a$1000;0));isnumber(match(h1534;a$1:a$1000;0));isnumber(match(d1534;a$1:a$1000;0));isnumber(match(i1534;a$1:a$1000;0));isnumber(match(e1534;a$1:a$1000;0));isnumber(match(j1534;a$1:a$1000;0));isnumber(match(f1534;a$1:a$1000;0));isnumber(match(k1534;a$1:a$1000;0));isnumber(match(g1534;a$1:a$1000;0));isnumber(match(l1534;a$1:a$1000;0)));0;p1534)	From Tree node	111233333	59	""	""	""	""	""
1536	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A1534 = "R";isnumber(match(c1534;a$1:a$1000;0));isnumber(match(h1534;a$1:a$1000;0));isnumber(match(d1534;a$1:a$1000;0));isnumber(match(i1534;a$1:a$1000;0));isnumber(match(e1534;a$1:a$1000;0));isnumber(match(j1534;a$1:a$1000;0));isnumber(match(f1534;a$1:a$1000;0));isnumber(match(k1534;a$1:a$1000;0));isnumber(match(g1534;a$1:a$1000;0));isnumber(match(l1534;a$1:a$1000;0)));0;p1534)	From Tree node	111233333	59	""	""	""	""	""
1537	""	ProTime< 44	Fatigue< 1.5	Spiders>=1.5	" "	" "	ProTime	Fatigue	Spiders	" "	" "	0.230769230769231	1	6.15	0.230769230769231	=if(or(A1538 = "R";isnumber(match(c1538;a$1:a$1000;0));isnumber(match(h1538;a$1:a$1000;0));isnumber(match(d1538;a$1:a$1000;0));isnumber(match(i1538;a$1:a$1000;0));isnumber(match(e1538;a$1:a$1000;0));isnumber(match(j1538;a$1:a$1000;0));isnumber(match(f1538;a$1:a$1000;0));isnumber(match(k1538;a$1:a$1000;0));isnumber(match(g1538;a$1:a$1000;0));isnumber(match(l1538;a$1:a$1000;0)));0;p1538)	From Tree node	1122222	15	""	""	1	3	3
1538	""	0.555555555555556	0.211538461538462	0.0909090909090909							""	""	""	""	""	=if(or(A1538 = "R";isnumber(match(c1538;a$1:a$1000;0));isnumber(match(h1538;a$1:a$1000;0));isnumber(match(d1538;a$1:a$1000;0));isnumber(match(i1538;a$1:a$1000;0));isnumber(match(e1538;a$1:a$1000;0));isnumber(match(j1538;a$1:a$1000;0));isnumber(match(f1538;a$1:a$1000;0));isnumber(match(k1538;a$1:a$1000;0));isnumber(match(g1538;a$1:a$1000;0));isnumber(match(l1538;a$1:a$1000;0)));0;p1538)	From Tree node	1122222	15	""	""	""	""	""
1539	""	-0.133333333333333	-0.5	-0.666666666666667							""	""	""	""	""	=if(or(A1538 = "R";isnumber(match(c1538;a$1:a$1000;0));isnumber(match(h1538;a$1:a$1000;0));isnumber(match(d1538;a$1:a$1000;0));isnumber(match(i1538;a$1:a$1000;0));isnumber(match(e1538;a$1:a$1000;0));isnumber(match(j1538;a$1:a$1000;0));isnumber(match(f1538;a$1:a$1000;0));isnumber(match(k1538;a$1:a$1000;0));isnumber(match(g1538;a$1:a$1000;0));isnumber(match(l1538;a$1:a$1000;0)));0;p1538)	From Tree node	1122222	15	""	""	""	""	""
1540	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A1538 = "R";isnumber(match(c1538;a$1:a$1000;0));isnumber(match(h1538;a$1:a$1000;0));isnumber(match(d1538;a$1:a$1000;0));isnumber(match(i1538;a$1:a$1000;0));isnumber(match(e1538;a$1:a$1000;0));isnumber(match(j1538;a$1:a$1000;0));isnumber(match(f1538;a$1:a$1000;0));isnumber(match(k1538;a$1:a$1000;0));isnumber(match(g1538;a$1:a$1000;0));isnumber(match(l1538;a$1:a$1000;0)));0;p1538)	From Tree node	1122222	15	""	""	""	""	""
1541	""	ProTime< 44	Fatigue< 1.5	Ascites>=1.5	Sgot>=61.5	ProTime< 38.5	ProTime	Fatigue	Ascites	Sgot	ProTime	0.230769230769231	1	6.15	0.230769230769231	=if(or(A1542 = "R";isnumber(match(c1542;a$1:a$1000;0));isnumber(match(h1542;a$1:a$1000;0));isnumber(match(d1542;a$1:a$1000;0));isnumber(match(i1542;a$1:a$1000;0));isnumber(match(e1542;a$1:a$1000;0));isnumber(match(j1542;a$1:a$1000;0));isnumber(match(f1542;a$1:a$1000;0));isnumber(match(k1542;a$1:a$1000;0));isnumber(match(g1542;a$1:a$1000;0));isnumber(match(l1542;a$1:a$1000;0)));0;p1542)	From Tree node	1122223333	59	""	""	1	3	3
