trivials	empty	rule	c2	c3	c4	c5	f1	f2	f3	f4	f5	covPostCases	confidence	lift	globalQuality	withoutTrivial	optimised	iteration	treeNode	simplification	oneCatAltIndex	extLength	covPostCases2	support
2110	""	0.5	0.31496062992126	0.269005847953216							""	""	""	""	""	=if(or(A2110 = "R";isnumber(match(c2110;a$1:a$1000;0));isnumber(match(h2110;a$1:a$1000;0));isnumber(match(d2110;a$1:a$1000;0));isnumber(match(i2110;a$1:a$1000;0));isnumber(match(e2110;a$1:a$1000;0));isnumber(match(j2110;a$1:a$1000;0));isnumber(match(f2110;a$1:a$1000;0));isnumber(match(k2110;a$1:a$1000;0));isnumber(match(g2110;a$1:a$1000;0));isnumber(match(l2110;a$1:a$1000;0)));0;p2110)	Simplified	0001113	23	1	""	""	""	""
2111	""	-0.314516129032258	-0.615384615384615	-0.636363636363636							""	""	""	""	""	=if(or(A2110 = "R";isnumber(match(c2110;a$1:a$1000;0));isnumber(match(h2110;a$1:a$1000;0));isnumber(match(d2110;a$1:a$1000;0));isnumber(match(i2110;a$1:a$1000;0));isnumber(match(e2110;a$1:a$1000;0));isnumber(match(j2110;a$1:a$1000;0));isnumber(match(f2110;a$1:a$1000;0));isnumber(match(k2110;a$1:a$1000;0));isnumber(match(g2110;a$1:a$1000;0));isnumber(match(l2110;a$1:a$1000;0)));0;p2110)	Simplified	0001113	23	1	""	""	""	""
2112	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A2110 = "R";isnumber(match(c2110;a$1:a$1000;0));isnumber(match(h2110;a$1:a$1000;0));isnumber(match(d2110;a$1:a$1000;0));isnumber(match(i2110;a$1:a$1000;0));isnumber(match(e2110;a$1:a$1000;0));isnumber(match(j2110;a$1:a$1000;0));isnumber(match(f2110;a$1:a$1000;0));isnumber(match(k2110;a$1:a$1000;0));isnumber(match(g2110;a$1:a$1000;0));isnumber(match(l2110;a$1:a$1000;0)));0;p2110)	Simplified	0001113	23	1	""	""	""	""
2113	""	TotalPhenols< 1.84	Proanthocyanins< 1.555	TotalPhenols>=1.6	Magnesium>=99.5	" "	TotalPhenols	Proanthocyanins	TotalPhenols	Magnesium	" "	0.125	0.75	2.78	0.09375	=if(or(A2114 = "R";isnumber(match(c2114;a$1:a$1000;0));isnumber(match(h2114;a$1:a$1000;0));isnumber(match(d2114;a$1:a$1000;0));isnumber(match(i2114;a$1:a$1000;0));isnumber(match(e2114;a$1:a$1000;0));isnumber(match(j2114;a$1:a$1000;0));isnumber(match(f2114;a$1:a$1000;0));isnumber(match(k2114;a$1:a$1000;0));isnumber(match(g2114;a$1:a$1000;0));isnumber(match(l2114;a$1:a$1000;0)));0;p2114)	Simplified	0001222	57	1	""	1	6	8
2114	""	0.711538461538462	0.48314606741573	0.172185430463576	0.246913580246914						""	""	""	""	""	=if(or(A2114 = "R";isnumber(match(c2114;a$1:a$1000;0));isnumber(match(h2114;a$1:a$1000;0));isnumber(match(d2114;a$1:a$1000;0));isnumber(match(i2114;a$1:a$1000;0));isnumber(match(e2114;a$1:a$1000;0));isnumber(match(j2114;a$1:a$1000;0));isnumber(match(f2114;a$1:a$1000;0));isnumber(match(k2114;a$1:a$1000;0));isnumber(match(g2114;a$1:a$1000;0));isnumber(match(l2114;a$1:a$1000;0)));0;p2114)	Simplified	0001222	57	1	""	""	""	""
2115	""	-0.380952380952381	-0.666666666666667	-0.85	-0.722222222222222						""	""	""	""	""	=if(or(A2114 = "R";isnumber(match(c2114;a$1:a$1000;0));isnumber(match(h2114;a$1:a$1000;0));isnumber(match(d2114;a$1:a$1000;0));isnumber(match(i2114;a$1:a$1000;0));isnumber(match(e2114;a$1:a$1000;0));isnumber(match(j2114;a$1:a$1000;0));isnumber(match(f2114;a$1:a$1000;0));isnumber(match(k2114;a$1:a$1000;0));isnumber(match(g2114;a$1:a$1000;0));isnumber(match(l2114;a$1:a$1000;0)));0;p2114)	Simplified	0001222	57	1	""	""	""	""
2116	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A2114 = "R";isnumber(match(c2114;a$1:a$1000;0));isnumber(match(h2114;a$1:a$1000;0));isnumber(match(d2114;a$1:a$1000;0));isnumber(match(i2114;a$1:a$1000;0));isnumber(match(e2114;a$1:a$1000;0));isnumber(match(j2114;a$1:a$1000;0));isnumber(match(f2114;a$1:a$1000;0));isnumber(match(k2114;a$1:a$1000;0));isnumber(match(g2114;a$1:a$1000;0));isnumber(match(l2114;a$1:a$1000;0)));0;p2114)	Simplified	0001222	57	1	""	""	""	""
2117	""	NonflavanoidsPhenols>=0.395	Ash< 2.76	NonflavanoidsPhenols< 0.46	Ash< 2.49	NonflavanoidsPhenols< 0.415	NonflavanoidsPhenols	Ash	NonflavanoidsPhenols	Ash	NonflavanoidsPhenols	0.104166666666667	0.833333333333333	3.09	0.0868055555555556	=if(or(A2118 = "R";isnumber(match(c2118;a$1:a$1000;0));isnumber(match(h2118;a$1:a$1000;0));isnumber(match(d2118;a$1:a$1000;0));isnumber(match(i2118;a$1:a$1000;0));isnumber(match(e2118;a$1:a$1000;0));isnumber(match(j2118;a$1:a$1000;0));isnumber(match(f2118;a$1:a$1000;0));isnumber(match(k2118;a$1:a$1000;0));isnumber(match(g2118;a$1:a$1000;0));isnumber(match(l2118;a$1:a$1000;0)));0;p2118)	From Tree node	0000000111	59	""	""	1	5	6
2118	""	0.521739130434783	0.276470588235294	0.167883211678832	0.262295081967213	0.144067796610169					""	""	""	""	""	=if(or(A2118 = "R";isnumber(match(c2118;a$1:a$1000;0));isnumber(match(h2118;a$1:a$1000;0));isnumber(match(d2118;a$1:a$1000;0));isnumber(match(i2118;a$1:a$1000;0));isnumber(match(e2118;a$1:a$1000;0));isnumber(match(j2118;a$1:a$1000;0));isnumber(match(f2118;a$1:a$1000;0));isnumber(match(k2118;a$1:a$1000;0));isnumber(match(g2118;a$1:a$1000;0));isnumber(match(l2118;a$1:a$1000;0)));0;p2118)	From Tree node	0000000111	59	""	""	""	""	""
2119	""	-0.156626506024096	-0.833333333333333	-0.833333333333333	-0.555555555555556	-0.5					""	""	""	""	""	=if(or(A2118 = "R";isnumber(match(c2118;a$1:a$1000;0));isnumber(match(h2118;a$1:a$1000;0));isnumber(match(d2118;a$1:a$1000;0));isnumber(match(i2118;a$1:a$1000;0));isnumber(match(e2118;a$1:a$1000;0));isnumber(match(j2118;a$1:a$1000;0));isnumber(match(f2118;a$1:a$1000;0));isnumber(match(k2118;a$1:a$1000;0));isnumber(match(g2118;a$1:a$1000;0));isnumber(match(l2118;a$1:a$1000;0)));0;p2118)	From Tree node	0000000111	59	""	""	""	""	""
