trivials	empty	rule	c2	c3	c4	c5	f1	f2	f3	f4	f5	covPostCases	confidence	lift	globalQuality	withoutTrivial	optimised	iteration	treeNode	simplification	oneCatAltIndex	extLength	covPostCases2	support
302	""	0.495238095238095	0.396946564885496	0.495833333333333							""	""	""	""	""	=if(or(A302 = "R";isnumber(match(c302;a$1:a$1000;0));isnumber(match(h302;a$1:a$1000;0));isnumber(match(d302;a$1:a$1000;0));isnumber(match(i302;a$1:a$1000;0));isnumber(match(e302;a$1:a$1000;0));isnumber(match(j302;a$1:a$1000;0));isnumber(match(f302;a$1:a$1000;0));isnumber(match(k302;a$1:a$1000;0));isnumber(match(g302;a$1:a$1000;0));isnumber(match(l302;a$1:a$1000;0)));0;p302)	SingleCatAlt	0111244	39	1	1	""	""	""
303	""	-0.673076923076923	-0.538461538461538	-0.472527472527473							""	""	""	""	""	=if(or(A302 = "R";isnumber(match(c302;a$1:a$1000;0));isnumber(match(h302;a$1:a$1000;0));isnumber(match(d302;a$1:a$1000;0));isnumber(match(i302;a$1:a$1000;0));isnumber(match(e302;a$1:a$1000;0));isnumber(match(j302;a$1:a$1000;0));isnumber(match(f302;a$1:a$1000;0));isnumber(match(k302;a$1:a$1000;0));isnumber(match(g302;a$1:a$1000;0));isnumber(match(l302;a$1:a$1000;0)));0;p302)	SingleCatAlt	0111244	39	1	1	""	""	""
304	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A302 = "R";isnumber(match(c302;a$1:a$1000;0));isnumber(match(h302;a$1:a$1000;0));isnumber(match(d302;a$1:a$1000;0));isnumber(match(i302;a$1:a$1000;0));isnumber(match(e302;a$1:a$1000;0));isnumber(match(j302;a$1:a$1000;0));isnumber(match(f302;a$1:a$1000;0));isnumber(match(k302;a$1:a$1000;0));isnumber(match(g302;a$1:a$1000;0));isnumber(match(l302;a$1:a$1000;0)));0;p302)	SingleCatAlt	0111244	39	1	1	""	""	""
305	""	A7>=427	A6>=6.5	" "	" "	" "	A7	A6	" "	" "	" "	0.100977198697068	0.775	1.74	0.078257328990228	=if(or(A306 = "R";isnumber(match(c306;a$1:a$1000;0));isnumber(match(h306;a$1:a$1000;0));isnumber(match(d306;a$1:a$1000;0));isnumber(match(i306;a$1:a$1000;0));isnumber(match(e306;a$1:a$1000;0));isnumber(match(j306;a$1:a$1000;0));isnumber(match(f306;a$1:a$1000;0));isnumber(match(k306;a$1:a$1000;0));isnumber(match(g306;a$1:a$1000;0));isnumber(match(l306;a$1:a$1000;0)));0;p306)	Simplified	01	19	1	""	1	31	40
306	""	0.635593220338983	0.631578947368421								""	""	""	""	""	=if(or(A306 = "R";isnumber(match(c306;a$1:a$1000;0));isnumber(match(h306;a$1:a$1000;0));isnumber(match(d306;a$1:a$1000;0));isnumber(match(i306;a$1:a$1000;0));isnumber(match(e306;a$1:a$1000;0));isnumber(match(j306;a$1:a$1000;0));isnumber(match(f306;a$1:a$1000;0));isnumber(match(k306;a$1:a$1000;0));isnumber(match(g306;a$1:a$1000;0));isnumber(match(l306;a$1:a$1000;0)));0;p306)	Simplified	01	19	1	""	""	""	""
307	""	-0.631578947368421	-0.635593220338983								""	""	""	""	""	=if(or(A306 = "R";isnumber(match(c306;a$1:a$1000;0));isnumber(match(h306;a$1:a$1000;0));isnumber(match(d306;a$1:a$1000;0));isnumber(match(i306;a$1:a$1000;0));isnumber(match(e306;a$1:a$1000;0));isnumber(match(j306;a$1:a$1000;0));isnumber(match(f306;a$1:a$1000;0));isnumber(match(k306;a$1:a$1000;0));isnumber(match(g306;a$1:a$1000;0));isnumber(match(l306;a$1:a$1000;0)));0;p306)	Simplified	01	19	1	""	""	""	""
308	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A306 = "R";isnumber(match(c306;a$1:a$1000;0));isnumber(match(h306;a$1:a$1000;0));isnumber(match(d306;a$1:a$1000;0));isnumber(match(i306;a$1:a$1000;0));isnumber(match(e306;a$1:a$1000;0));isnumber(match(j306;a$1:a$1000;0));isnumber(match(f306;a$1:a$1000;0));isnumber(match(k306;a$1:a$1000;0));isnumber(match(g306;a$1:a$1000;0));isnumber(match(l306;a$1:a$1000;0)));0;p306)	Simplified	01	19	1	""	""	""	""
309	""	A5>=12.5	A4 %in% c("2", "3")	" "	" "	" "	A5	A4	" "	" "	" "	0.172638436482085	0.868852459016393	1.95	0.0749986650291024	=if(or(A310 = "R";isnumber(match(c310;a$1:a$1000;0));isnumber(match(h310;a$1:a$1000;0));isnumber(match(d310;a$1:a$1000;0));isnumber(match(i310;a$1:a$1000;0));isnumber(match(e310;a$1:a$1000;0));isnumber(match(j310;a$1:a$1000;0));isnumber(match(f310;a$1:a$1000;0));isnumber(match(k310;a$1:a$1000;0));isnumber(match(g310;a$1:a$1000;0));isnumber(match(l310;a$1:a$1000;0)));0;p310)	Simplified	000	43	1	""	2	53	61
310	""	0.772151898734177	0.497153700189753								""	""	""	""	""	=if(or(A310 = "R";isnumber(match(c310;a$1:a$1000;0));isnumber(match(h310;a$1:a$1000;0));isnumber(match(d310;a$1:a$1000;0));isnumber(match(i310;a$1:a$1000;0));isnumber(match(e310;a$1:a$1000;0));isnumber(match(j310;a$1:a$1000;0));isnumber(match(f310;a$1:a$1000;0));isnumber(match(k310;a$1:a$1000;0));isnumber(match(g310;a$1:a$1000;0));isnumber(match(l310;a$1:a$1000;0)));0;p310)	Simplified	000	43	1	""	""	""	""
311	""	-0.497153700189753	-0.772151898734177								""	""	""	""	""	=if(or(A310 = "R";isnumber(match(c310;a$1:a$1000;0));isnumber(match(h310;a$1:a$1000;0));isnumber(match(d310;a$1:a$1000;0));isnumber(match(i310;a$1:a$1000;0));isnumber(match(e310;a$1:a$1000;0));isnumber(match(j310;a$1:a$1000;0));isnumber(match(f310;a$1:a$1000;0));isnumber(match(k310;a$1:a$1000;0));isnumber(match(g310;a$1:a$1000;0));isnumber(match(l310;a$1:a$1000;0)));0;p310)	Simplified	000	43	1	""	""	""	""
