trivials	empty	rule	c2	c3	c4	c5	f1	f2	f3	f4	f5	covPostCases	confidence	lift	globalQuality	withoutTrivial	optimised	iteration	treeNode	simplification	oneCatAltIndex	extLength	covPostCases2	support
157	""	Mg< 2.696	Mg>=0.1639	RI< 1.522	Fe< 0.04335	" "	Mg	Mg	RI	Fe	" "	0.454545454545455	0.833333333333333	8.11	0.378787878787879	=if(or(A158 = "R";isnumber(match(c158;a$1:a$1000;0));isnumber(match(h158;a$1:a$1000;0));isnumber(match(d158;a$1:a$1000;0));isnumber(match(i158;a$1:a$1000;0));isnumber(match(e158;a$1:a$1000;0));isnumber(match(j158;a$1:a$1000;0));isnumber(match(f158;a$1:a$1000;0));isnumber(match(k158;a$1:a$1000;0));isnumber(match(g158;a$1:a$1000;0));isnumber(match(l158;a$1:a$1000;0)));0;p158)	From Tree node	112	31	""	""	1	10	12
158	""	0.360655737704918	0.0697674418604651	0.109947643979058	0.130718954248366						""	""	""	""	""	=if(or(A158 = "R";isnumber(match(c158;a$1:a$1000;0));isnumber(match(h158;a$1:a$1000;0));isnumber(match(d158;a$1:a$1000;0));isnumber(match(i158;a$1:a$1000;0));isnumber(match(e158;a$1:a$1000;0));isnumber(match(j158;a$1:a$1000;0));isnumber(match(f158;a$1:a$1000;0));isnumber(match(k158;a$1:a$1000;0));isnumber(match(g158;a$1:a$1000;0));isnumber(match(l158;a$1:a$1000;0)));0;p158)	From Tree node	112	31	""	""	""	""	""
159	""	-0.0943396226415094	-0.441860465116279	-0.714285714285714	-0.705882352941177						""	""	""	""	""	=if(or(A158 = "R";isnumber(match(c158;a$1:a$1000;0));isnumber(match(h158;a$1:a$1000;0));isnumber(match(d158;a$1:a$1000;0));isnumber(match(i158;a$1:a$1000;0));isnumber(match(e158;a$1:a$1000;0));isnumber(match(j158;a$1:a$1000;0));isnumber(match(f158;a$1:a$1000;0));isnumber(match(k158;a$1:a$1000;0));isnumber(match(g158;a$1:a$1000;0));isnumber(match(l158;a$1:a$1000;0)));0;p158)	From Tree node	112	31	""	""	""	""	""
160	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A158 = "R";isnumber(match(c158;a$1:a$1000;0));isnumber(match(h158;a$1:a$1000;0));isnumber(match(d158;a$1:a$1000;0));isnumber(match(i158;a$1:a$1000;0));isnumber(match(e158;a$1:a$1000;0));isnumber(match(j158;a$1:a$1000;0));isnumber(match(f158;a$1:a$1000;0));isnumber(match(k158;a$1:a$1000;0));isnumber(match(g158;a$1:a$1000;0));isnumber(match(l158;a$1:a$1000;0)));0;p158)	From Tree node	112	31	""	""	""	""	""
161	""	Ca>=9.244	Al>=1.38	Na< 13.53	" "	" "	Ca	Al	Na	" "	" "	0.454545454545455	0.833333333333333	8.11	0.378787878787879	=if(or(A162 = "R";isnumber(match(c162;a$1:a$1000;0));isnumber(match(h162;a$1:a$1000;0));isnumber(match(d162;a$1:a$1000;0));isnumber(match(i162;a$1:a$1000;0));isnumber(match(e162;a$1:a$1000;0));isnumber(match(j162;a$1:a$1000;0));isnumber(match(f162;a$1:a$1000;0));isnumber(match(k162;a$1:a$1000;0));isnumber(match(g162;a$1:a$1000;0));isnumber(match(l162;a$1:a$1000;0)));0;p162)	ShorterRule	0233	61	1	1	1	10	12
162	""	0.326923076923077	0.180952380952381	0.0875912408759124							""	""	""	""	""	=if(or(A162 = "R";isnumber(match(c162;a$1:a$1000;0));isnumber(match(h162;a$1:a$1000;0));isnumber(match(d162;a$1:a$1000;0));isnumber(match(i162;a$1:a$1000;0));isnumber(match(e162;a$1:a$1000;0));isnumber(match(j162;a$1:a$1000;0));isnumber(match(f162;a$1:a$1000;0));isnumber(match(k162;a$1:a$1000;0));isnumber(match(g162;a$1:a$1000;0));isnumber(match(l162;a$1:a$1000;0)));0;p162)	ShorterRule	0233	61	1	1	""	""	""
163	""	-0.1875	-0.416666666666667	-0.652173913043478							""	""	""	""	""	=if(or(A162 = "R";isnumber(match(c162;a$1:a$1000;0));isnumber(match(h162;a$1:a$1000;0));isnumber(match(d162;a$1:a$1000;0));isnumber(match(i162;a$1:a$1000;0));isnumber(match(e162;a$1:a$1000;0));isnumber(match(j162;a$1:a$1000;0));isnumber(match(f162;a$1:a$1000;0));isnumber(match(k162;a$1:a$1000;0));isnumber(match(g162;a$1:a$1000;0));isnumber(match(l162;a$1:a$1000;0)));0;p162)	ShorterRule	0233	61	1	1	""	""	""
164	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A162 = "R";isnumber(match(c162;a$1:a$1000;0));isnumber(match(h162;a$1:a$1000;0));isnumber(match(d162;a$1:a$1000;0));isnumber(match(i162;a$1:a$1000;0));isnumber(match(e162;a$1:a$1000;0));isnumber(match(j162;a$1:a$1000;0));isnumber(match(f162;a$1:a$1000;0));isnumber(match(k162;a$1:a$1000;0));isnumber(match(g162;a$1:a$1000;0));isnumber(match(l162;a$1:a$1000;0)));0;p162)	ShorterRule	0233	61	1	1	""	""	""
165	""	Ca>=9.244	K>=0.2763	Na< 13.5	Ca< 12.87	" "	Ca	K	Na	Ca	" "	0.409090909090909	0.9	8.75	0.368181818181818	=if(or(A166 = "R";isnumber(match(c166;a$1:a$1000;0));isnumber(match(h166;a$1:a$1000;0));isnumber(match(d166;a$1:a$1000;0));isnumber(match(i166;a$1:a$1000;0));isnumber(match(e166;a$1:a$1000;0));isnumber(match(j166;a$1:a$1000;0));isnumber(match(f166;a$1:a$1000;0));isnumber(match(k166;a$1:a$1000;0));isnumber(match(g166;a$1:a$1000;0));isnumber(match(l166;a$1:a$1000;0)));0;p166)	From Tree node	0111	31	""	""	1	9	10
166	""	0.326923076923077	0.0827586206896552	0.0902255639097744	0.106280193236715						""	""	""	""	""	=if(or(A166 = "R";isnumber(match(c166;a$1:a$1000;0));isnumber(match(h166;a$1:a$1000;0));isnumber(match(d166;a$1:a$1000;0));isnumber(match(i166;a$1:a$1000;0));isnumber(match(e166;a$1:a$1000;0));isnumber(match(j166;a$1:a$1000;0));isnumber(match(f166;a$1:a$1000;0));isnumber(match(k166;a$1:a$1000;0));isnumber(match(g166;a$1:a$1000;0));isnumber(match(l166;a$1:a$1000;0)));0;p166)	From Tree node	0111	31	""	""	""	""	""
167	""	-0.092436974789916	-0.588235294117647	-0.6	-0.75						""	""	""	""	""	=if(or(A166 = "R";isnumber(match(c166;a$1:a$1000;0));isnumber(match(h166;a$1:a$1000;0));isnumber(match(d166;a$1:a$1000;0));isnumber(match(i166;a$1:a$1000;0));isnumber(match(e166;a$1:a$1000;0));isnumber(match(j166;a$1:a$1000;0));isnumber(match(f166;a$1:a$1000;0));isnumber(match(k166;a$1:a$1000;0));isnumber(match(g166;a$1:a$1000;0));isnumber(match(l166;a$1:a$1000;0)));0;p166)	From Tree node	0111	31	""	""	""	""	""
168	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A166 = "R";isnumber(match(c166;a$1:a$1000;0));isnumber(match(h166;a$1:a$1000;0));isnumber(match(d166;a$1:a$1000;0));isnumber(match(i166;a$1:a$1000;0));isnumber(match(e166;a$1:a$1000;0));isnumber(match(j166;a$1:a$1000;0));isnumber(match(f166;a$1:a$1000;0));isnumber(match(k166;a$1:a$1000;0));isnumber(match(g166;a$1:a$1000;0));isnumber(match(l166;a$1:a$1000;0)));0;p166)	From Tree node	0111	31	""	""	""	""	""
169	""	Mg< 2.696	Ba< 0.2551	Na>=12.69	Na>=13.57	K< 0.04968	Mg	Ba	Na	Na	K	0.409090909090909	0.9	8.75	0.368181818181818	=if(or(A170 = "R";isnumber(match(c170;a$1:a$1000;0));isnumber(match(h170;a$1:a$1000;0));isnumber(match(d170;a$1:a$1000;0));isnumber(match(i170;a$1:a$1000;0));isnumber(match(e170;a$1:a$1000;0));isnumber(match(j170;a$1:a$1000;0));isnumber(match(f170;a$1:a$1000;0));isnumber(match(k170;a$1:a$1000;0));isnumber(match(g170;a$1:a$1000;0));isnumber(match(l170;a$1:a$1000;0)));0;p170)	From Tree node	22222	61	""	""	1	9	10
